Lat;Lon;Time Range;Apparent Fishing hours
57,8;5,9;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;122,423333
70,4;21,9;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;7,863056
68,8;17,2;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;28,055
67,3;11,7;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;96,934722
67,6;12,1;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;39,539722
71,1;23,9;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;118,376944
70,4;31,3;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;41,583333
62,9;5,3;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;5,028056
66,1;12,8;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;34,793056
67,9;13,4;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;156,815833
68;13,5;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;20,695556
68;13,6;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;33,875
67,9;13,7;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;120,861944
68,3;14,7;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;61,554444
67,4;11,4;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;32,088889
67,6;12;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;39,633611
71,1;26,1;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;54,427778
70,7;29,3;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;1,831944
70,7;29,5;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;17,144167
70,7;29,6;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;22,617222
70,2;30,7;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;16,432222
69,9;30,3;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;5,727222
64,6;8,9;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;60,556111
62,5;5,3;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;11,289722
63;7,5;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;20,325
63,1;7,7;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;20,695
63,9;9,5;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;3,557778
63,9;9,6;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;8,376667
58,3;8,6;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;91,996667
72,4;16,9;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;1,975556
72,4;16,7;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;2,9475
69,9;16,7;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;68,590556
69,8;16,7;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;16,202222
72,4;23,1;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;1,643611
72,4;23,2;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;1,996667
72,3;23,2;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;6,402778
72,3;27,1;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;9,930556
71,3;24,8;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;115,396944
71,2;24,8;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;28,731944
71,3;24,9;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;108,092222
71,2;25;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;18,109722
71;29,1;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;39,925278
71,1;32,3;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;9,235
70,3;31,5;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;0,755556
64,6;8,6;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;44,999167
64,6;8,8;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;59,164722
63,1;5,7;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;1,860556
63;5,6;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;0,906944
63;5,8;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;5,736111
63,8;8,4;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;37,001667
66;12,5;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;39,257778
60,6;1,9;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;1,5275
60,6;2,1;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;7,683611
60,6;2,2;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;1,938889
60,9;5;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;23,034167
66,8;13,5;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;17,3275
70,8;29,9;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;13,175556
70,8;30,4;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;6,233611
62,6;6,2;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;18,473056
70,7;21,6;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;3,125
70,6;21,6;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;227,082222
67,8;13;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;80,405
69,9;17,3;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;28,45
69,9;17,9;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;3,206389
69,9;18;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;12,525833
69,9;17,7;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;62,568056
